customer_id,tenure,monthly_charges,total_charges,contract_type,payment_method,age,avg_monthly_spend,churn,monthly_revenue
CUST_00001,52,53.11,2935.19,Two year,Bank transfer,57,393.33,0,524.14
CUST_00002,15,129.31,2248.74,Month-to-month,Electronic check,31,391.77,0,546.73
CUST_00003,61,25.0,1463.71,One year,Electronic check,61,448.73,0,439.71
CUST_00004,21,137.23,2682.17,Month-to-month,Mailed check,59,378.07,0,410.19
CUST_00005,24,79.99,1544.11,One year,Mailed check,47,467.51,0,537.17
CUST_00006,3,102.84,348.82,Month-to-month,Mailed check,69,199.7,0,234.31
CUST_00007,22,105.72,2605.85,Month-to-month,Credit card,69,276.44,0,348.77
CUST_00008,53,136.37,6084.07,Two year,Credit card,43,56.34,0,46.71
CUST_00009,2,102.77,211.86,Month-to-month,Electronic check,62,53.13,0,69.34
CUST_00010,30,99.81,2951.16,Two year,Credit card,46,158.06,0,133.3
CUST_00011,38,28.66,922.98,Two year,Credit card,36,95.36,0,107.55
CUST_00012,2,87.39,208.38,Month-to-month,Bank transfer,64,167.1,0,230.49
CUST_00013,64,39.52,2240.63,Month-to-month,Credit card,25,129.67,0,144.69
CUST_00014,60,115.87,5748.73,One year,Bank transfer,40,62.83,0,56.82
CUST_00015,21,86.59,1887.38,Two year,Mailed check,59,459.19,0,683.97
CUST_00016,33,108.43,3920.07,Two year,Bank transfer,52,53.7,0,76.39
CUST_00017,58,25.42,1198.62,One year,Bank transfer,48,381.24,0,510.83
CUST_00018,22,31.02,725.77,One year,Mailed check,52,118.47,0,128.9
CUST_00019,49,113.12,5614.48,Month-to-month,Mailed check,49,460.5,0,427.66
CUST_00020,59,29.37,1457.84,Two year,Electronic check,22,451.76,0,659.11
CUST_00021,42,29.26,1067.94,Two year,Electronic check,33,344.26,0,403.7
CUST_00022,60,21.57,1329.39,Month-to-month,Electronic check,34,352.51,0,492.33
CUST_00023,15,144.35,1988.88,Month-to-month,Electronic check,49,52.4,0,54.47
CUST_00024,62,115.88,8444.2,Month-to-month,Bank transfer,55,493.19,0,510.3
CUST_00025,62,65.92,4608.12,Month-to-month,Bank transfer,49,445.02,0,663.03
CUST_00026,47,58.55,3284.13,Two year,Electronic check,69,452.8,0,527.64
CUST_00027,62,65.46,3668.37,Month-to-month,Credit card,37,346.66,0,311.47
CUST_00028,51,120.7,7312.29,Month-to-month,Electronic check,65,205.15,0,195.67
CUST_00029,55,105.98,5668.57,Month-to-month,Credit card,19,452.14,0,514.25
CUST_00030,64,44.08,2649.05,Two year,Mailed check,37,181.18,0,150.33
CUST_00031,3,42.63,104.89,One year,Bank transfer,64,303.22,0,340.75
CUST_00032,51,32.79,1373.13,Month-to-month,Bank transfer,35,94.88,0,103.73
CUST_00033,7,105.84,797.78,Month-to-month,Credit card,18,464.88,0,625.51
CUST_00034,21,119.37,2464.59,Two year,Electronic check,46,113.35,0,118.84
CUST_00035,39,54.46,1891.6,Two year,Bank transfer,46,151.2,0,224.95
CUST_00036,18,22.72,427.6,Month-to-month,Credit card,36,301.16,0,279.04
CUST_00037,4,30.68,110.59,Month-to-month,Mailed check,61,393.84,0,478.0
CUST_00038,60,145.82,9020.89,Month-to-month,Mailed check,57,328.71,0,283.61
CUST_00039,14,58.41,771.69,Month-to-month,Bank transfer,23,154.46,0,202.91
CUST_00040,9,120.0,1219.77,One year,Electronic check,61,50.42,0,75.44
CUST_00041,53,101.21,6052.23,Two year,Credit card,56,390.72,0,536.61
CUST_00042,2,69.65,138.04,Month-to-month,Bank transfer,67,493.34,0,586.58
CUST_00043,60,46.74,2637.05,Two year,Mailed check,63,414.46,0,472.2
CUST_00044,71,35.78,2400.72,Month-to-month,Electronic check,25,257.09,0,355.95
CUST_00045,44,99.95,4935.59,One year,Credit card,41,456.7,0,664.58
CUST_00046,8,120.7,899.24,One year,Bank transfer,37,234.43,0,349.87
CUST_00047,47,103.71,4307.11,Month-to-month,Credit card,31,286.22,0,308.42
CUST_00048,35,88.94,2595.77,Month-to-month,Electronic check,22,264.71,0,395.38
CUST_00049,36,25.45,903.99,One year,Electronic check,58,251.43,0,228.59
CUST_00050,50,145.9,7242.86,Month-to-month,Mailed check,57,398.84,0,389.86
CUST_00051,4,123.83,562.86,Month-to-month,Electronic check,51,287.05,0,247.53
CUST_00052,2,58.07,103.19,One year,Bank transfer,33,192.52,0,190.64
CUST_00053,6,147.4,842.3,Two year,Credit card,62,166.17,0,222.26
CUST_00054,54,98.24,5959.39,Month-to-month,Electronic check,24,66.99,0,93.59
CUST_00055,4,95.71,432.4,Two year,Electronic check,33,312.44,0,420.3
CUST_00056,54,117.25,6039.27,Month-to-month,Bank transfer,24,153.48,0,190.58
CUST_00057,63,125.53,7779.08,One year,Credit card,44,116.66,0,135.3
CUST_00058,18,105.34,1746.92,One year,Credit card,31,344.22,0,446.14
CUST_00059,44,36.65,1891.62,Two year,Mailed check,31,356.54,0,382.78
CUST_00060,34,63.97,1843.2,Month-to-month,Mailed check,61,388.47,0,539.55
CUST_00061,62,140.65,10233.27,One year,Credit card,50,276.61,0,352.41
CUST_00062,14,49.2,739.46,One year,Bank transfer,50,452.32,0,582.8
CUST_00063,48,68.38,3323.69,Month-to-month,Bank transfer,61,471.35,0,553.91
CUST_00064,15,76.17,928.97,Month-to-month,Mailed check,37,413.32,0,586.77
CUST_00065,62,77.12,4734.77,Month-to-month,Electronic check,64,336.02,0,328.09
CUST_00066,40,99.68,3840.07,Month-to-month,Bank transfer,53,186.67,0,199.14
CUST_00067,53,142.6,6533.62,Two year,Electronic check,24,492.33,0,661.86
CUST_00068,24,51.29,1307.97,Month-to-month,Bank transfer,49,173.36,0,198.48
CUST_00069,26,35.8,1106.22,Month-to-month,Credit card,65,141.2,0,200.85
CUST_00070,60,45.67,2808.36,One year,Mailed check,20,248.97,0,259.55
CUST_00071,41,135.3,6023.82,Month-to-month,Electronic check,56,75.58,0,80.0
CUST_00072,29,103.96,2494.42,One year,Electronic check,46,490.32,0,697.29
CUST_00073,15,57.17,829.31,Month-to-month,Credit card,41,314.8,0,354.17
CUST_00074,45,126.07,4802.57,Two year,Bank transfer,39,300.63,0,349.12
CUST_00075,65,131.98,8965.76,Two year,Electronic check,23,345.11,0,356.48
CUST_00076,71,130.05,10853.05,Two year,Bank transfer,65,273.66,0,271.93
CUST_00077,9,139.46,1336.36,Month-to-month,Credit card,41,64.43,0,81.13
CUST_00078,1,52.79,43.85,One year,Mailed check,57,325.54,0,287.74
CUST_00079,8,118.16,890.33,Month-to-month,Electronic check,40,372.28,0,526.96
CUST_00080,63,79.87,5133.78,Month-to-month,Bank transfer,55,237.54,0,319.6
CUST_00081,11,129.46,1368.92,Month-to-month,Electronic check,27,390.78,0,364.8
CUST_00082,8,114.7,1040.06,One year,Bank transfer,33,152.15,0,195.64
